yy,mm,lat5,lon5,cwp_grid,days,skj_c,yft_c,oth_c
1951,4,"25N","160E","61250016000",0,0.000,0.000,0.000
1951,4,"30N","125E","61300012500",0,0.000,0.000,0.000
1951,4,"30N","130E","61300013000",0,0.000,0.000,0.000
1951,4,"30N","135E","61300013500",83,202.188,1.059,0.000
1951,4,"30N","140E","61300014000",150,570.602,1.588,0.000
1951,4,"30N","145E","61300014500",0,0.000,0.000,0.000
1951,4,"30N","150E","61300015000",0,0.000,0.000,0.000
1951,4,"30N","155E","61300015500",0,0.000,0.000,0.000
1951,4,"30N","160E","61300016000",0,0.000,0.000,0.000
1951,4,"35N","135E","61350013500",0,0.000,0.000,0.000
1951,4,"35N","140E","61350014000",0,0.000,0.000,0.000
1951,4,"35N","145E","61350014500",0,0.000,0.000,0.000
1951,4,"35N","150E","61350015000",0,0.000,0.000,0.000
1951,4,"35N","155E","61350015500",0,0.000,0.000,0.000
1951,4,"35N","160E","61350016000",0,0.000,0.000,0.000
1951,5,"20N","120E","61200012000",0,0.000,0.000,0.000
1951,5,"20N","125E","61200012500",0,0.000,0.000,0.000
1951,5,"20N","130E","61200013000",0,0.000,0.000,0.000
1951,5,"20N","135E","61200013500",0,0.000,0.000,0.000
1951,5,"20N","140E","61200014000",0,0.000,0.000,0.000
1951,5,"20N","145E","61200014500",0,0.000,0.000,0.000
1951,5,"20N","150E","61200015000",0,0.000,0.000,0.000
1951,5,"20N","155E","61200015500",0,0.000,0.000,0.000
1951,5,"20N","160E","61200016000",0,0.000,0.000,0.000
1951,5,"25N","125E","61250012500",0,0.000,0.000,0.000
1951,5,"25N","130E","61250013000",0,0.000,0.000,0.000
1951,5,"25N","135E","61250013500",0,0.000,0.000,0.000
1951,5,"25N","140E","61250014000",120,408.186,19.724,0.000
1951,5,"25N","145E","61250014500",0,0.000,0.000,0.000
1951,5,"25N","150E","61250015000",0,0.000,0.000,0.000
1951,5,"25N","155E","61250015500",0,0.000,0.000,0.000
1951,5,"25N","160E","61250016000",0,0.000,0.000,0.000
1951,5,"30N","125E","61300012500",0,0.000,0.000,0.000
1951,5,"30N","130E","61300013000",0,0.000,0.000,0.000
1951,5,"30N","135E","61300013500",142,304.847,11.780,0.000
